0;KM TRANSPORTES RODOVIARIOS DE ;CTRCs EXPEDIDOS;PERIODO DE EMISSAO: 06/04/26 A 06/04/26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Serie/Numero CTRC;Tipo do Documento;Data de Emissao;Hora de Emissao;Data de Autorizacao;Hora de Autorizacao;Login;Placa de Coleta;Cliente Remetente;Cliente Expedidor;Cliente Pagador;Cidade do Destinatario;UF do Destinatario;Local de Entrega;UF de Entrega;Unidade Receptora;Numero da Nota Fiscal;Peso Real em Kg;Cubagem em m3;Quantidade de Volumes;Valor da Mercadoria;Valor do Frete;Peso Calculado em Kg;Frete Peso;Frete Valor;Codigo da Ultima Ocorrencia;Data de inclusao da Ultima Ocorrencia;Data da Ultima Ocorrencia;Usuario da Ultima Ocorrencia;Unidade da Ultima Ocorrencia;Descricao da Ultima Ocorrencia;Latitude da Ultima Ocorrencia;Longitude da Ultima Ocorrencia;Previsao de Entrega;Entrega Programada;Data da Entrega Realizada;Quantidade de Dias de Atraso;Localizacao Atual;Data do Cancelamento;Motivo do Cancelamento;Codigo dos Correios;Notas Fiscais;Numero dos Pedidos;Chaves NF-es;Capa de Canhoto de NF;Volumes;Volume Cliente/Shipment;Observacao;Distancia em Km;Conferente de Coleta;Complemento
2;CGN190429-9;NORMAL;06/04/2026;08:12;06/04/2026;08:28;vfsilva ;LOGPIN1;PINDUCA INDUSTRIA ALIMENTICIA LTDA;PINDUCA INDUSTRIA ALIMENTICIA LTDA;PINDUCA INDUSTRIA ALIMENTICIA LTDA;CAMPO GRANDE;MS;;MS;CGR;401273;222,74;0;35;2199,24;189,6;222,74;122,51;24,19;8;07/04/2026;07/04/2026;lvsouza;KMT - CGR;MERC CONFERIDA E SEPARADA - SETOR MERCADO NF OK;;;10/04/2026;;;0;KMT CGR-RPS emitida com 35 volumes e 223 Kg. Destino: MS/CAMPO GRANDE. Previsao de entrega: 10/04/26;;;;3/401273, 3/401274 ;;41260375875773000200550030004012731764362080, 41260375875773000200550030004012741608411077 ;;254251463258-254251463292, 254251463254-254251463257 ;;;3;CONFEREN;0
2;CGN190430-2;NORMAL;06/04/2026;08:15;06/04/2026;08:28;vfsilva ;LOGPIN1;PINDUCA INDUSTRIA ALIMENTICIA LTDA;PINDUCA INDUSTRIA ALIMENTICIA LTDA;PINDUCA INDUSTRIA ALIMENTICIA LTDA;CAMPO GRANDE;MS;;MS;CGR;401296;7998,61;0;9;58814,5;5759,56;7998,61;4399,24;646,96;8;07/04/2026;07/04/2026;lvsouza;KMT - CGR;MERC CONFERIDA E SEPARADA - SETOR MERCADO NF OK;;;10/04/2026;;;0;KMT CGR-RPS emitida com 1030 volumes e 7999 Kg. Destino: MS/CAMPO GRANDE. Previsao de entrega: 10/04/26;;;;3/401296 ;;41260375875773000200550030004012961617494475 ;;254251513145-254251513155 ;;;3;CONFEREN;0
2;CGN190431-1;NORMAL;06/04/2026;08:16;06/04/2026;08:28;vfsilva ;LOGPIN1;PINDUCA INDUSTRIA ALIMENTICIA LTDA;PINDUCA INDUSTRIA ALIMENTICIA LTDA;PINDUCA INDUSTRIA ALIMENTICIA LTDA;CAMPO GRANDE;MS;;MS;CGR;401272;296,95;0;31;1998;233,48;296,95;163,32;21,98;8;07/04/2026;07/04/2026;lvsouza;KMT - CGR;MERC CONFERIDA E SEPARADA - SETOR MERCADO NF OK;;;10/04/2026;;;0;KMT CGR-RPS emitida com 31 volumes e 297 Kg. Destino: MS/CAMPO GRANDE. Previsao de entrega: 10/04/26;;;;3/401272 ;;41260375875773000200550030004012721939372325 ;;254251464338-254251464370 ;;;3;CONFEREN;0
2;CGN190432-9;NORMAL;06/04/2026;08:17;06/04/2026;08:28;vfsilva ;LOGPIN1;PINDUCA INDUSTRIA ALIMENTICIA LTDA;PINDUCA INDUSTRIA ALIMENTICIA LTDA;PINDUCA INDUSTRIA ALIMENTICIA LTDA;CAMPO GRANDE;MS;;MS;CGR;401275;144,34;0;17;1173,98;127,76;144,34;79,39;12,91;8;07/04/2026;07/04/2026;lvsouza;KMT - CGR;MERC CONFERIDA E SEPARADA - SETOR MERCADO NF OK;;;10/04/2026;;;0;KMT CGR-RPS emitida com 17 volumes e 144 Kg. Destino: MS/CAMPO GRANDE. Previsao de entrega: 10/04/26;;;;3/401275 ;;41260375875773000200550030004012751210856250 ;;254251464371-254251464389 ;;;3;CONFEREN;0
2;CGN190433-7;NORMAL;06/04/2026;08:17;06/04/2026;08:28;vfsilva ;LOGPIN1;PINDUCA INDUSTRIA ALIMENTICIA LTDA;PINDUCA INDUSTRIA ALIMENTICIA LTDA;PINDUCA INDUSTRIA ALIMENTICIA LTDA;CAMPO GRANDE;MS;;MS;CGR;401276;103,64;0;16;1070,75;101,02;103,64;57;11,78;8;07/04/2026;07/04/2026;lvsouza;KMT - CGR;MERC CONFERIDA E SEPARADA - SETOR MERCADO NF OK;;;10/04/2026;;;0;KMT CGR-RPS emitida com 16 volumes e 104 Kg. Destino: MS/CAMPO GRANDE. Previsao de entrega: 10/04/26;;;;3/401276 ;;41260375875773000200550030004012761997884170 ;;254251464390-254251464407 ;;;3;CONFEREN;0
2;CGN190434-5;NORMAL;06/04/2026;08:18;06/04/2026;08:28;vfsilva ;LOGPIN1;PINDUCA INDUSTRIA ALIMENTICIA LTDA;PINDUCA INDUSTRIA ALIMENTICIA LTDA;PINDUCA INDUSTRIA ALIMENTICIA LTDA;CAMPO GRANDE;MS;;MS;CGR;401277;125,56;0;18;1074,26;114,78;125,56;69,06;11,82;8;07/04/2026;07/04/2026;lvsouza;KMT - CGR;MERC CONFERIDA E SEPARADA - SETOR MERCADO NF OK;;;10/04/2026;;;0;KMT CGR-RPS emitida com 18 volumes e 126 Kg. Destino: MS/CAMPO GRANDE. Previsao de entrega: 10/04/26;;;;3/401277 ;;41260375875773000200550030004012771296643255 ;;254251464408-254251464427 ;;;3;CONFEREN;0
2;CGN190435-3;NORMAL;06/04/2026;08:19;06/04/2026;08:28;vfsilva ;LOGPIN1;PINDUCA INDUSTRIA ALIMENTICIA LTDA;PINDUCA INDUSTRIA ALIMENTICIA LTDA;PINDUCA INDUSTRIA ALIMENTICIA LTDA;CAMPO GRANDE;MS;;MS;CGR;401278;147,67;0;16;1158,91;129,65;147,67;81,22;12,75;8;07/04/2026;07/04/2026;lvsouza;KMT - CGR;MERC CONFERIDA E SEPARADA - SETOR MERCADO NF OK;;;10/04/2026;;;0;KMT CGR-RPS emitida com 16 volumes e 148 Kg. Destino: MS/CAMPO GRANDE. Previsao de entrega: 10/04/26;;;;3/401278 ;;41260375875773000200550030004012781449914079 ;;254251464428-254251464445 ;;;3;CONFEREN;0
2;CGN190436-1;NORMAL;06/04/2026;08:19;06/04/2026;08:28;vfsilva ;LOGPIN1;PINDUCA INDUSTRIA ALIMENTICIA LTDA;PINDUCA INDUSTRIA ALIMENTICIA LTDA;PINDUCA INDUSTRIA ALIMENTICIA LTDA;CAMPO GRANDE;MS;;MS;CGR;401279;195,68;0;26;1658,97;165,93;195,68;107,62;18,25;8;07/04/2026;07/04/2026;lvsouza;KMT - CGR;MERC CONFERIDA E SEPARADA - SETOR MERCADO NF OK;;;10/04/2026;;;0;KMT CGR-RPS emitida com 26 volumes e 196 Kg. Destino: MS/CAMPO GRANDE. Previsao de entrega: 10/04/26;;;;3/401279 ;;41260375875773000200550030004012791722583392 ;;254251464446-254251464473 ;;;3;CONFEREN;0
2;CGN190437-0;NORMAL;06/04/2026;08:20;06/04/2026;08:28;vfsilva ;LOGPIN1;PINDUCA INDUSTRIA ALIMENTICIA LTDA;PINDUCA INDUSTRIA ALIMENTICIA LTDA;PINDUCA INDUSTRIA ALIMENTICIA LTDA;CAMPO GRANDE;MS;;MS;CGR;401280;882;0;1;4239;627,32;882;485,1;46,63;85;07/04/2026;07/04/2026;jhonatsp;KMT - CGR;Saida para entrega na cidade de CAMPO GRANDE.;;;08/04/2026;;;0;KMT CGR - EM ENTREGA;;;;3/401280 ;;41260375875773000200550030004012801624442493 ;;254251473362-254251473364 ;;;3;CONFEREN;0
2;CGN190438-8;NORMAL;06/04/2026;08:20;06/04/2026;08:28;vfsilva ;LOGPIN1;PINDUCA INDUSTRIA ALIMENTICIA LTDA;PINDUCA INDUSTRIA ALIMENTICIA LTDA;PINDUCA INDUSTRIA ALIMENTICIA LTDA;CAMPO GRANDE;MS;;MS;CGR;401282;129,1;0;17;1036,18;116,52;129,1;71,01;11,4;8;07/04/2026;07/04/2026;lvsouza;KMT - CGR;MERC CONFERIDA E SEPARADA - SETOR MERCADO NF OK;;;10/04/2026;;;0;KMT CGR-RPS emitida com 17 volumes e 129 Kg. Destino: MS/CAMPO GRANDE. Previsao de entrega: 10/04/26;;;;3/401282 ;;41260375875773000200550030004012821733276874 ;;254251464550-254251464568 ;;;3;CONFEREN;0
